trip_no,trip_id,orig_trip_id,route_no,route_id,orig_route_id,route_short_name,route_long_name,route_desc,route_type,route_used,begin_time,end_time,mileage
         1,MADSC-EB  ,MADSC-EB                        236,100340A   ,100340A                  ,98A                                     ,                                        ,Madison Street Streetcar                , 0, 0, 9999.9902,-9999.9902,    0.0000
         2,MADSC-WB  ,MADSC-WB                        236,100340A   ,100340A                  ,98A                                     ,                                        ,Madison Street Streetcar                , 0, 0, 9999.9902,-9999.9902,    0.0000
         3,21731007  ,21731007                        118,100194    ,100194                   ,33                                      ,                                        ,Ft Lawton                               , 3, 0, 9999.9902,-9999.9902,    0.0000
         4,21731018  ,21731018                        118,100194    ,100194                   ,33                                      ,                                        ,Ft Lawton                               , 3, 0, 9999.9902,-9999.9902,    0.0000
         5,21731027  ,21731027                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 9999.9902,-9999.9902,    0.0000
         6,21731032  ,21731032                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 9999.9902,-9999.9902,    0.0000
         7,21731037  ,21731037                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 9999.9902,-9999.9902,    0.0000
         8,21731043  ,21731043                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 9999.9902,-9999.9902,    0.0000
         9,21731048  ,21731048                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 2519.9500, 2547.9333,    4.5617
        10,21731049  ,21731049                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 2372.9500, 2403.9167,    4.5617
        11,21731062  ,21731062                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 2330.0667, 2348.0000,    3.2230
        12,21731071  ,21731071                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 9999.9902,-9999.9902,    0.0000
        13,21731076  ,21731076                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 9999.9902,-9999.9902,    0.0000
