stop_no,stop_id,orig_stop_id,stop_name,stop_desc,stop_pnrtype,stop_used,stop_usedFG,stop_lat,stop_lon
         1,Z00000001>,TLSBWD-  76              ,Zone - 00000     1                      ,Zone - 00000     1                      , 0, 0, 0,   37.211166,  -66.421890
         2,Z00000002>,TLSBWD-  76              ,Zone - 00000     2                      ,Zone - 00000     2                      , 0, 0, 0,   37.218159,  -66.396561
         3,PNR     3^,TLSBWD-  76              ,PNRCalvary Christian Assembly Church    ,PNRCalvary Christian Assembly Church    , 3, 0, 0,   47.678436, -122.317368
         4,PNR     4^,TLSBWD-  76              ,PNRGreen Lake P&R                       ,PNRGreen Lake P&R                       , 2, 0, 0,   47.675743, -122.320145
         5,PNR     5^,TLSBWD-  76              ,PNRLamb of God Lutheran Church          ,PNRLamb of God Lutheran Church          , 3, 0, 0,   47.719303, -122.299088
         6,PNR     6^,TLSBWD-  76              ,PNRNorth Seattle P&R (west of N'gate TC),PNRNorth Seattle P&R (west of N'gate TC), 2, 0, 0,   47.702309, -122.327278
         7,PNR     7^,TLSBWD-  76              ,PNRNorthgate Transit Center             ,PNRNorthgate Transit Center             , 2, 0, 0,   47.702309, -122.327278
         8,PNR     8^,TLSBWD-  76              ,PNRNorthgate Transit Center East P&R    ,PNRNorthgate Transit Center East P&R    , 2, 0, 0,   47.702309, -122.327278
         9,PNR     9^,TLSBWD-  76              ,PNRNorthgate Mall P&R Garage            ,PNRNorthgate Mall P&R Garage            , 3, 0, 0,   47.702309, -122.327278
        10,PNR    10^,TLSBWD-  76              ,PNRSouth Jackson Park P&R               ,PNRSouth Jackson Park P&R               , 2, 0, 0,   47.726086, -122.323540
        11,PNR    11^,TLSBWD-  76              ,PNRThornton Place Garage                ,PNRThornton Place Garage                , 2, 0, 0,   47.702309, -122.327278
        12,PNR    12^,TLSBWD-  76              ,PNRAurora Church of the Nazarene        ,PNRAurora Church of the Nazarene        , 3, 0, 0,   47.756031, -122.334908
        13,PNR    13^,TLSBWD-  76              ,PNRAurora Village Transit Center        ,PNRAurora Village Transit Center        , 3, 0, 0,   47.774479, -122.341637
        14,PNR    14^,TLSBWD-  76              ,PNRBethel Lutheran Church               ,PNRBethel Lutheran Church               , 3, 0, 0,   47.755783, -122.318787
        15,PNR    15^,TLSBWD-  76              ,PNRKorean Zion Presbyterian Church      ,PNRKorean Zion Presbyterian Church      , 3, 0, 0,   47.759537, -122.334923
        16,PNR    16^,TLSBWD-  76              ,PNRNorth Jackson Park P&R               ,PNRNorth Jackson Park P&R               , 2, 0, 0,   47.735741, -122.323578
        17,PNR    17^,TLSBWD-  76              ,PNRPrince of Peace Lutheran Church      ,PNRPrince of Peace Lutheran Church      , 3, 0, 0,   47.733898, -122.307274
        18,PNR    18^,TLSBWD-  76              ,PNRShoreline United Methodist Church    ,PNRShoreline United Methodist Church    , 3, 0, 0,   47.733833, -122.302010
        19,PNR    19^,TLSBWD-  76              ,PNRShoreline P&R                        ,PNRShoreline P&R                        , 2, 0, 0,   47.767097, -122.346069
        20,PNR    20^,TLSBWD-  76              ,PNRBurien Church of God                 ,PNRBurien Church of God                 , 3, 0, 0,   47.453102, -122.333931
        21,PNR    21^,TLSBWD-  76              ,PNRBurien Transit Center                ,PNRBurien Transit Center                , 2, 0, 0,   47.469757, -122.337181
        22,PNR    22^,TLSBWD-  76              ,PNRNormandy Park Congregational         ,PNRNormandy Park Congregational         , 3, 0, 0,   47.433144, -122.335571
        23,PNR    23^,TLSBWD-  76              ,PNRAirport & Spokane P&R                ,PNRAirport & Spokane P&R                , 2, 0, 0,   47.571777, -122.322762
        24,PNR    24^,TLSBWD-  76              ,PNRBeverly Park First Baptist Church    ,PNRBeverly Park First Baptist Church    , 3, 0, 0,   47.497982, -122.333771
        25,PNR    25^,TLSBWD-  76              ,PNRChurch By the Side of the Road       ,PNRChurch By the Side of the Road       , 3, 0, 0,   47.470470, -122.286240
        26,PNR    26^,TLSBWD-  76              ,PNRCommunity Bible Fellowship           ,PNRCommunity Bible Fellowship           , 3, 0, 0,   47.502144, -122.250473
        27,PNR    27^,TLSBWD-  76              ,PNRHoly Family Church                   ,PNRHoly Family Church                   , 3, 0, 0,   47.517368, -122.359207
